iteration,n_data,effective_lr,tau,kl_weight,particle_std_mean,particle_std_min,particle_std_max,pw_dist_mean,pw_dist_min,pw_dist_max,pw_dist_median,movement_mean,movement_min,movement_max,movement_std,prior_dist_mean,prior_dist_min,prior_dist_max,ll_before_mean,ll_before_std,ll_before_min,ll_before_max,ll_after_mean,ll_after_std,ll_after_min,ll_after_max,ll_per_datapoint,lp_before_mean,lp_after_mean,phi_norm_first,phi_norm_last,phi_norm_max,clip_fraction
0,1,0.012,0.5,0.35,0.2450738102197647,0.19043204188346863,0.3194967210292816,1.9458374977111816,1.044651746749878,3.2324330806732178,1.9140493869781494,0.12561088800430298,0.103363037109375,0.15011994540691376,0.01144492533057928,1.3699053525924683,0.856182336807251,2.195643186569214,-1.1194555759429932,0.9198018908500671,-4.15214204788208,-0.15223141014575958,-1.0093193054199219,0.844642162322998,-3.692134141921997,-0.14586128294467926,-1.0093193054199219,-16.51384925842285,-18.180580139160156,0.782965898513794,0.9570988416671753,1.6304454803466797,0.0
1,2,0.012,0.497,0.3725,0.2515755891799927,0.1957734227180481,0.32738015055656433,1.998805046081543,1.0771361589431763,3.2827048301696777,1.9695924520492554,0.11608222872018814,0.09146901965141296,0.14660391211509705,0.012395870871841908,1.4067414999008179,0.9087885022163391,2.246835708618164,-2.1975018978118896,1.1862688064575195,-5.035544395446777,-0.49943211674690247,-1.9693222045898438,1.1083431243896484,-4.692802906036377,-0.4801880717277527,-0.9846611022949219,-18.180580139160156,-19.232187271118164,1.3610913753509521,0.544337809085846,4.566394329071045,0.0
2,3,0.012,0.494,0.39499999999999996,0.2539585530757904,0.19968271255493164,0.3358297646045685,2.0187814235687256,1.1031817197799683,3.313612937927246,1.9914476871490479,0.088503398001194,0.06205021217465401,0.12007583677768707,0.01410136092454195,1.424707293510437,0.9517809748649597,2.278825283050537,-3.056955575942993,1.8136905431747437,-9.211174011230469,-0.7046463489532471,-2.735492706298828,1.6686077117919922,-8.323118209838867,-0.7012488842010498,-0.9118309020996094,-19.232187271118164,-19.820863723754883,1.2728419303894043,1.4785091876983643,1.6831430196762085,0.0
3,4,0.012,0.491,0.4175,0.2548469603061676,0.20326854288578033,0.34014877676963806,2.02629017829895,1.121246099472046,3.3134708404541016,2.0068602561950684,0.08899270743131638,0.06535610556602478,0.12051050364971161,0.010867612436413765,1.4350221157073975,0.9746295809745789,2.29952335357666,-3.8061318397521973,2.198424816131592,-11.880721092224121,-1.0095477104187012,-3.4416518211364746,1.98923659324646,-10.64053726196289,-1.0392180681228638,-0.8604129552841187,-19.820863723754883,-20.0882568359375,1.4471044540405273,1.4215747117996216,2.426503896713257,0.0
4,5,0.012,0.488,0.44,0.2554321885108948,0.20444147288799286,0.3406248092651367,2.031336784362793,1.1463241577148438,3.2922606468200684,2.0134334564208984,0.0786544606089592,0.06381984800100327,0.09666138142347336,0.008057924918830395,1.447074055671692,0.9792076945304871,2.325322389602661,-4.2991743087768555,2.5124852657318115,-11.116741180419922,-1.2542836666107178,-3.9522314071655273,2.3436896800994873,-10.301831245422363,-1.2772071361541748,-0.7904462814331055,-20.0882568359375,-20.35602569580078,0.8749724626541138,1.181550145149231,3.089311361312866,0.0
5,6,0.012,0.485,0.46249999999999997,0.25328466296195984,0.20615790784358978,0.33590811491012573,2.0144596099853516,1.165556788444519,3.248225450515747,1.9984408617019653,0.08792762458324432,0.07131399214267731,0.1120520830154419,0.009309446439146996,1.4472063779830933,0.9610104560852051,2.3335540294647217,-4.904232501983643,2.9601359367370605,-12.957263946533203,-1.4935038089752197,-4.468996047973633,2.636075258255005,-11.82344913482666,-1.4762741327285767,-0.7448326746622721,-20.35602569580078,-20.223711013793945,2.432894706726074,1.2321116924285889,5.469538688659668,0.0
6,7,0.012,0.482,0.485,0.2491050660610199,0.1990397423505783,0.3290408253669739,1.981603741645813,1.1616265773773193,3.181046724319458,1.9668855667114258,0.10181543231010437,0.07392275333404541,0.15133531391620636,0.0166985671967268,1.4404046535491943,0.9313917756080627,2.353731393814087,-5.242338180541992,3.2055819034576416,-14.915618896484375,-1.6455422639846802,-4.507894992828369,2.5873892307281494,-12.454713821411133,-1.5941842794418335,-0.6439849989754813,-20.223711013793945,-19.8975830078125,1.8604799509048462,0.7211303114891052,3.4474470615386963,0.0
7,8,0.012,0.479,0.5075,0.24518334865570068,0.19238586723804474,0.3215051293373108,1.9505648612976074,1.1652697324752808,3.116049289703369,1.9305311441421509,0.10067905485630035,0.06486167758703232,0.1339508593082428,0.019420139491558075,1.4367306232452393,0.9258806705474854,2.3510379791259766,-5.590397357940674,3.076714277267456,-14.051259994506836,-1.9067928791046143,-4.90961217880249,2.5474324226379395,-12.283568382263184,-1.6942576169967651,-0.6137015223503113,-19.8975830078125,-19.642282485961914,2.8901052474975586,0.9121763706207275,12.621086120605469,0.0002
8,9,0.012,0.476,0.53,0.2415526807308197,0.1904361993074417,0.3132607042789459,1.9218738079071045,1.1678214073181152,3.057734727859497,1.9067047834396362,0.09565331041812897,0.05996430292725563,0.12657670676708221,0.018395841121673584,1.4358162879943848,0.9338815212249756,2.361307144165039,-5.8038554191589355,3.0237088203430176,-16.11081886291504,-2.1266512870788574,-5.1571855545043945,2.661947011947632,-14.184412002563477,-1.9922853708267212,-0.5730206171671549,-19.642282485961914,-19.42888832092285,1.7135275602340698,1.721168875694275,9.510531425476074,0.0
9,10,0.012,0.473,0.5525,0.2380398064851761,0.18721550703048706,0.30860602855682373,1.8941841125488281,1.180816411972046,3.029803991317749,1.8790717124938965,0.07829541712999344,0.0545157827436924,0.11927017569541931,0.01613137125968933,1.431649088859558,0.9601536393165588,2.363208532333374,-5.981559753417969,3.1233034133911133,-17.665279388427734,-2.3196310997009277,-5.446192741394043,2.7587039470672607,-15.534345626831055,-2.2284536361694336,-0.5446192741394043,-19.42888832092285,-19.166305541992188,1.4163967370986938,2.6270151138305664,9.562478065490723,0.0
10,11,0.012,0.47,0.575,0.23474332690238953,0.18715056777000427,0.3051421344280243,1.867522120475769,1.1750977039337158,2.9918172359466553,1.8512122631072998,0.07318571954965591,0.052354149520397186,0.10098445415496826,0.012613433413207531,1.4218685626983643,0.9533112049102783,2.3754680156707764,-6.318366527557373,2.853027105331421,-15.934170722961426,-2.7704102993011475,-5.844552040100098,2.5751779079437256,-14.01233196258545,-2.6633918285369873,-0.5313229127363726,-19.166305541992188,-18.801116943359375,2.7919368743896484,2.066054582595825,11.83419132232666,0.0
11,12,0.012,0.46699999999999997,0.5975,0.23235458135604858,0.18451771140098572,0.3016211986541748,1.8487555980682373,1.1676214933395386,2.9647510051727295,1.8304859399795532,0.08217209577560425,0.060036879032850266,0.10941967368125916,0.011529682204127312,1.4245836734771729,0.9733629822731018,2.3955039978027344,-6.713846683502197,2.9623870849609375,-15.517913818359375,-2.963254928588867,-6.254185676574707,2.6841161251068115,-14.714374542236328,-3.0835938453674316,-0.521182139714559,-18.801116943359375,-18.688827514648438,1.1829564571380615,1.1154145002365112,11.722007751464844,0.0
12,13,0.012,0.464,0.62,0.2277887761592865,0.18147535622119904,0.29412293434143066,1.812230110168457,1.1531211137771606,2.915834903717041,1.7920159101486206,0.06950823217630386,0.04738512262701988,0.11321432888507843,0.014361292123794556,1.41403067111969,0.9586353898048401,2.3998725414276123,-6.946191310882568,3.0983633995056152,-17.54490089416504,-3.3952836990356445,-6.312783718109131,2.5949506759643555,-13.529911041259766,-3.171290874481201,-0.4855987475468562,-18.688827514648438,-18.260589599609375,2.3428523540496826,1.0983513593673706,2.777509927749634,0.0
13,14,0.012,0.461,0.6425000000000001,0.22417005896568298,0.17798210680484772,0.2883776128292084,1.783712387084961,1.1307330131530762,2.8853096961975098,1.7597581148147583,0.06579174101352692,0.0379917174577713,0.0985465869307518,0.012181935831904411,1.409478783607483,0.958436131477356,2.4037933349609375,-7.105521202087402,2.917323589324951,-15.173215866088867,-3.500521183013916,-6.6080756187438965,2.532421112060547,-12.195745468139648,-3.3809080123901367,-0.4720054013388498,-18.260589599609375,-17.93907356262207,1.4918512105941772,2.3789680004119873,10.09782600402832,0.0
14,15,0.012,0.458,0.665,0.2218155711889267,0.1770932674407959,0.2847188711166382,1.7654294967651367,1.106559157371521,2.864558219909668,1.7432758808135986,0.05772212892770767,0.035483282059431076,0.09531184285879135,0.013826800510287285,1.4112316370010376,0.9620733857154846,2.4112985134124756,-7.340505599975586,2.778569221496582,-13.686494827270508,-4.00262975692749,-6.902560710906982,2.4551799297332764,-12.84244155883789,-3.914400815963745,-0.4601707140604655,-17.93907356262207,-17.767253875732422,1.4807038307189941,1.0649036169052124,13.290395736694336,0.0002
15,16,0.012,0.455,0.6875,0.21890470385551453,0.17429281771183014,0.2815176248550415,1.7425953149795532,1.082800269126892,2.8111228942871094,1.723419189453125,0.058406732976436615,0.039428118616342545,0.08385345339775085,0.011101122945547104,1.412717580795288,0.9757139086723328,2.4042277336120605,-7.632082462310791,2.6979713439941406,-13.799888610839844,-4.214406967163086,-7.130745887756348,2.325684070587158,-13.191980361938477,-4.187146186828613,-0.44567161798477173,-17.767253875732422,-17.561059951782227,1.4040135145187378,1.5589358806610107,8.074584007263184,0.0
16,17,0.012,0.452,0.71,0.21575051546096802,0.17590583860874176,0.2781089246273041,1.717813491821289,1.0897884368896484,2.7606780529022217,1.702783465385437,0.05684623494744301,0.042319994419813156,0.07723288238048553,0.00921345129609108,1.4071106910705566,0.9743323922157288,2.3962199687957764,-7.671800136566162,2.5432701110839844,-15.164603233337402,-4.526962757110596,-7.212069988250732,2.2229702472686768,-14.429366111755371,-4.319907188415527,-0.4242394110735725,-17.561059951782227,-17.241355895996094,2.2981693744659424,1.6203820705413818,5.7154083251953125,0.0
17,18,0.012,0.449,0.7324999999999999,0.21332621574401855,0.17356914281845093,0.27563199400901794,1.6991312503814697,1.0860458612442017,2.7193071842193604,1.683790922164917,0.0671047568321228,0.04749690741300583,0.10182497650384903,0.01243712566792965,1.4091585874557495,0.996798038482666,2.393792152404785,-7.779566287994385,2.439385175704956,-16.389835357666016,-4.502796649932861,-7.347665786743164,2.1372885704040527,-15.776241302490234,-4.458027362823486,-0.4082036548190647,-17.241355895996094,-17.045921325683594,1.3409570455551147,1.855262279510498,21.21320343017578,0.0134
18,19,0.012,0.446,0.7550000000000001,0.21112079918384552,0.17235343158245087,0.27188459038734436,1.6819758415222168,1.0877768993377686,2.698890209197998,1.6647394895553589,0.04534919559955597,0.03163745626807213,0.07165653258562088,0.006721389479935169,1.3988354206085205,0.9824250340461731,2.3816077709198,-8.022217750549316,2.1142609119415283,-16.313392639160156,-5.232881546020508,-7.705772399902344,2.0126116275787354,-16.096973419189453,-5.025152206420898,-0.40556696841591283,-17.045921325683594,-16.757709503173828,5.099695682525635,0.7475003004074097,8.404935836791992,0.0
19,20,0.012,0.443,0.7775000000000001,0.20845633745193481,0.16951556503772736,0.2693804204463959,1.661142349243164,1.0829192399978638,2.6443731784820557,1.6449276208877563,0.04588399827480316,0.02912689931690693,0.0745122879743576,0.009717810899019241,1.3880047798156738,0.9720630049705505,2.369525909423828,-8.254460334777832,2.0343854427337646,-16.653696060180664,-5.638110160827637,-8.04970645904541,1.8914732933044434,-16.185970306396484,-5.5548224449157715,-0.4024853229522705,-16.757709503173828,-16.37617301940918,1.2512964010238647,1.411683201789856,10.39132022857666,0.0002
